"CaseId","ActivityName","StartTimestamp","EndTimestamp","Resource","ResourceType","QueueOrTeam","RiskLevel","DiscrepancyAmount","EvidenceStatus","RecommendedDisposition","FinalDisposition"
"EIR-2025-0041","Risk Triage Started","2026-08-10T16:51:11.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
"EIR-2025-0052","Evidence Received","2025-06-10T00:00:00.000Z","","ℹ Wage Report","Human","◆ Evidence Needed Queue","▲ High","18400","✓ Verified","",""
"EIR-2025-0052","Evidence Received","2025-06-10T00:00:00.000Z","","ℹ Wage Report","Human","◆ Evidence Needed Queue","▲ High","18400","✓ Verified","",""
"EIR-2025-0052","Evidence Received","2025-06-13T00:00:00.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High","18400","✓ Verified","",""
"EIR-2025-0052","Case Assigned","2026-07-29T20:39:39.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High","18400","◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2025-0052","Case Created","2026-07-29T20:39:39.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High","18400","◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2025-0052","Earnings Discrepancy Recorded","2026-07-29T20:51:05.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High","18400","","",""
"EIR-2025-0052","Earnings Discrepancy Recorded","2026-07-29T20:51:09.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High","18400","","",""
"EIR-2025-0052","Analyst Finding Drafted","2026-07-29T20:52:07.000Z","","T. Morales","Human","◆ Evidence Needed Queue","▲ High","18400","","◷ Request More Information",""
"EIR-2025-0052","AI Analysis Result Recorded","2026-08-04T19:24:07.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","◆ Evidence Needed Queue","▲ High","18400","◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2025-0067","Evidence Received","2025-07-10T00:00:00.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium","8750","✓ Verified","",""
"EIR-2025-0067","Case Assigned","2026-07-29T20:39:47.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium","8750","◷ In Progress","◷ Request More Information","◷ Referred for Further Review"
"EIR-2025-0067","Case Created","2026-07-29T20:39:47.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium","8750","◷ In Progress","◷ Request More Information","◷ Referred for Further Review"
"EIR-2025-0067","Earnings Discrepancy Recorded","2026-07-29T20:51:13.000Z","","IRS Wage Feed W-2","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2025-0067","Earnings Signal Received","2026-07-29T20:51:13.000Z","","IRS Wage Feed W-2","Automated Workflow","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2025-0067","AI Analysis Result Recorded","2026-08-04T19:24:07.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium","8750","◷ In Progress","◷ Request More Information","◷ Referred for Further Review"
"EIR-2026-BULK-001","Earnings Signal Received","2026-08-10T18:03:38.000Z","","Earnings Signal Intake Flow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-001","Risk Triage Started","2026-08-10T20:03:38.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-001","Case Assigned","2026-08-10T22:03:38.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-001","Earnings Discrepancy Reviewed","2026-08-11T18:03:38.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-001","Evidence Received","2026-08-12T18:03:38.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","Received","",""
"EIR-2026-BULK-001","Evidence Validated","2026-08-13T18:03:38.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","Verified","",""
"EIR-2026-BULK-001","Additional Evidence Requested","2026-08-14T18:03:38.000Z","","Avery Johnson","Human","Evidence Needed Queue","▲ High","12400","Requested","",""
"EIR-2026-BULK-001","Evidence Received","2026-08-18T18:03:38.000Z","","Morgan Lee","Human","Evidence Needed Queue","▲ High","12400","Received","",""
"EIR-2026-BULK-002","Earnings Signal Received","2026-08-10T18:04:00.000Z","","Earnings Signal Intake Flow","Automated Workflow","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-002","Risk Triage Started","2026-08-10T20:04:00.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-002","Case Assigned","2026-08-10T22:04:00.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-002","Earnings Discrepancy Reviewed","2026-08-11T18:04:00.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-002","Evidence Received","2026-08-12T18:04:00.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","Received","",""
"EIR-2026-BULK-002","Evidence Validated","2026-08-13T18:04:00.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","Verified","",""
"EIR-2026-BULK-002","Additional Evidence Requested","2026-08-14T18:04:00.000Z","","Avery Johnson","Human","Evidence Needed Queue","▲ High","9200","Requested","",""
"EIR-2026-BULK-002","Evidence Received","2026-08-18T18:04:00.000Z","","Morgan Lee","Human","Evidence Needed Queue","▲ High","9200","Received","",""
"EIR-2026-BULK-002","Case Assigned","2026-08-19T18:04:00.000Z","","Morgan Lee","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-003","Earnings Signal Received","2026-08-10T18:04:12.000Z","","Earnings Signal Intake Flow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-003","Risk Triage Started","2026-08-10T20:04:12.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-003","Case Assigned","2026-08-10T22:04:12.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-003","Earnings Discrepancy Reviewed","2026-08-11T18:04:12.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-003","Evidence Received","2026-08-12T18:04:12.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","Received","",""
"EIR-2026-BULK-003","Evidence Validated","2026-08-13T18:04:12.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","Verified","",""
"EIR-2026-BULK-003","Additional Evidence Requested","2026-08-14T18:04:12.000Z","","Avery Johnson","Human","Evidence Needed Queue","◷ Medium","8750","Requested","",""
"EIR-2026-BULK-003","Evidence Received","2026-08-18T18:04:12.000Z","","Morgan Lee","Human","Evidence Needed Queue","◷ Medium","8750","Received","",""
"EIR-2026-BULK-003","Case Assigned","2026-08-19T18:04:12.000Z","","Morgan Lee","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-003","Analyst Finding Submitted","2026-08-20T18:04:12.000Z","","Morgan Lee","Human","Supervisor Approval Queue","◷ Medium","8750","","◷ Contact Employer",""
"EIR-2026-BULK-003","Supervisor Review Started","2026-08-21T18:04:12.000Z","","Jordan Patel","Human","Supervisor Approval Queue","◷ Medium","8750","","◷ Contact Employer",""
"EIR-2026-BULK-003","Case Returned to Analyst","2026-08-22T18:04:12.000Z","","Jordan Patel","Human","Evidence Needed Queue","◷ Medium","8750","","◷ Contact Employer",""
"EIR-2026-BULK-003","Finding Revised","2026-08-24T18:04:12.000Z","","Morgan Lee","Human","Evidence Needed Queue","◷ Medium","8750","","◷ Contact Employer",""
"EIR-2026-BULK-004","Earnings Signal Received","2026-08-10T18:04:15.000Z","","Earnings Signal Intake Flow","Automated Workflow","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-004","Risk Triage Started","2026-08-10T20:04:15.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-004","Case Assigned","2026-08-10T22:04:15.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-004","Earnings Discrepancy Reviewed","2026-08-11T18:04:15.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-004","Evidence Received","2026-08-12T18:04:15.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","Received","",""
"EIR-2026-BULK-004","Evidence Validated","2026-08-13T18:04:15.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","Verified","",""
"EIR-2026-BULK-004","Case Assigned","2026-08-19T18:04:15.000Z","","Morgan Lee","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-004","Analyst Finding Submitted","2026-08-20T18:04:15.000Z","","Morgan Lee","Human","Supervisor Approval Queue","✓ Low","3600","","✓ Close - Corrected Data",""
"EIR-2026-BULK-004","Supervisor Review Started","2026-08-21T18:04:15.000Z","","Jordan Patel","Human","Supervisor Approval Queue","✓ Low","3600","","✓ Close - Corrected Data",""
"EIR-2026-BULK-004","Case Returned to Analyst","2026-08-22T18:04:15.000Z","","Jordan Patel","Human","Evidence Needed Queue","✓ Low","3600","","✓ Close - Corrected Data",""
"EIR-2026-BULK-004","Finding Revised","2026-08-24T18:04:15.000Z","","Morgan Lee","Human","Evidence Needed Queue","✓ Low","3600","","✓ Close - Corrected Data",""
"EIR-2026-BULK-005","Earnings Signal Received","2026-08-10T18:04:19.000Z","","Earnings Signal Intake Flow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-005","Risk Triage Started","2026-08-10T20:04:19.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-005","Case Assigned","2026-08-10T22:04:19.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-005","Earnings Discrepancy Reviewed","2026-08-11T18:04:19.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","","",""
"EIR-2026-BULK-005","Evidence Received","2026-08-12T18:04:19.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","Received","",""
"EIR-2026-BULK-005","Evidence Validated","2026-08-13T18:04:19.000Z","","Avery Johnson","Human","⚠ High-Risk Fraud Review Queue","▲ High","12400","Verified","",""
"EIR-2026-BULK-005","Analyst Finding Submitted","2026-08-20T18:04:19.000Z","","Morgan Lee","Human","Supervisor Approval Queue","▲ High","12400","","▲ Create Overpayment Review",""
"EIR-2026-BULK-005","Supervisor Review Started","2026-08-21T18:04:19.000Z","","Jordan Patel","Human","Supervisor Approval Queue","▲ High","12400","","▲ Create Overpayment Review",""
"EIR-2026-BULK-005","Case Returned to Analyst","2026-08-22T18:04:19.000Z","","Jordan Patel","Human","Evidence Needed Queue","▲ High","12400","","▲ Create Overpayment Review",""
"EIR-2026-BULK-005","Finding Revised","2026-08-24T18:04:19.000Z","","Morgan Lee","Human","Evidence Needed Queue","▲ High","12400","","▲ Create Overpayment Review",""
"EIR-2026-BULK-006","Earnings Signal Received","2026-08-10T18:04:22.000Z","","Earnings Signal Intake Flow","Automated Workflow","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-006","Risk Triage Started","2026-08-10T20:04:22.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-006","Case Assigned","2026-08-10T22:04:22.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-006","Earnings Discrepancy Reviewed","2026-08-11T18:04:22.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","","",""
"EIR-2026-BULK-006","Evidence Received","2026-08-12T18:04:22.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","Received","",""
"EIR-2026-BULK-006","Evidence Validated","2026-08-13T18:04:22.000Z","","Avery Johnson","Human","◆ Evidence Needed Queue","▲ High","9200","Verified","",""
"EIR-2026-BULK-006","Case Escalated","2026-08-17T18:04:22.000Z","","Jordan Patel","Human","Fraud Escalation Queue","▲ High","9200","","Create Fraud Escalation Package",""
"EIR-2026-BULK-007","Earnings Signal Received","2026-08-10T18:04:26.000Z","","Earnings Signal Intake Flow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-007","Risk Triage Started","2026-08-10T20:04:26.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-007","Case Assigned","2026-08-10T22:04:26.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-007","Earnings Discrepancy Reviewed","2026-08-11T18:04:26.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","","",""
"EIR-2026-BULK-007","Evidence Received","2026-08-12T18:04:26.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","Received","",""
"EIR-2026-BULK-007","Evidence Validated","2026-08-13T18:04:26.000Z","","Avery Johnson","Human","ℹ Employer Verification Queue","◷ Medium","8750","Verified","",""
"EIR-2026-BULK-007","Case Escalated","2026-08-17T18:04:26.000Z","","Jordan Patel","Human","Fraud Escalation Queue","◷ Medium","8750","","Create Fraud Escalation Package",""
"EIR-2026-BULK-008","Earnings Signal Received","2026-08-10T18:04:31.000Z","","Earnings Signal Intake Flow","Automated Workflow","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-008","Risk Triage Started","2026-08-10T20:04:31.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-008","Case Assigned","2026-08-10T22:04:31.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-008","Earnings Discrepancy Reviewed","2026-08-11T18:04:31.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","","",""
"EIR-2026-BULK-008","Evidence Received","2026-08-12T18:04:31.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","Received","",""
"EIR-2026-BULK-008","Evidence Validated","2026-08-13T18:04:31.000Z","","Avery Johnson","Human","✓ Closed / Monitoring Queue","✓ Low","3600","Verified","",""
"EIR-2026-BULK-009","Case Assigned","2026-08-10T17:04:35.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-009","Case Created","2026-08-10T17:04:35.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-009","AI Analysis Result Recorded","2026-08-10T18:22:45.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-010","Case Assigned","2026-08-10T17:04:39.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-010","Case Created","2026-08-10T17:04:39.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-010","AI Analysis Result Recorded","2026-08-10T18:22:45.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-011","Case Assigned","2026-08-10T17:04:43.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-011","Case Created","2026-08-10T17:04:43.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-011","AI Analysis Result Recorded","2026-08-10T18:22:45.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-012","Case Assigned","2026-08-10T17:04:47.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-012","Case Created","2026-08-10T17:04:47.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-012","AI Analysis Result Recorded","2026-08-10T18:22:46.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-013","Case Assigned","2026-08-10T17:04:51.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-013","Case Created","2026-08-10T17:04:51.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-013","AI Analysis Result Recorded","2026-08-10T18:22:46.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-014","Case Assigned","2026-08-10T17:04:54.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-014","Case Created","2026-08-10T17:04:54.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-014","AI Analysis Result Recorded","2026-08-10T18:22:46.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-015","Case Assigned","2026-08-10T17:04:57.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-015","Case Created","2026-08-10T17:04:57.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-015","AI Analysis Result Recorded","2026-08-10T18:22:46.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-016","Case Assigned","2026-08-10T17:05:01.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-016","Case Created","2026-08-10T17:05:01.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-016","AI Analysis Result Recorded","2026-08-10T18:22:47.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-017","Case Assigned","2026-08-10T17:05:19.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-017","Case Created","2026-08-10T17:05:19.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-017","AI Analysis Result Recorded","2026-08-10T18:22:47.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2026-BULK-018","Case Assigned","2026-08-10T17:05:30.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-018","Case Created","2026-08-10T17:05:30.000Z","","Bradley Law","Human","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-018","AI Analysis Result Recorded","2026-08-10T18:22:47.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","◆ Evidence Needed Queue","▲ High",,"◷ In Progress","◷ Request More Information","◷ Insufficient Evidence"
"EIR-2026-BULK-019","Case Assigned","2026-08-10T17:05:37.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-019","Case Created","2026-08-10T17:05:37.000Z","","Bradley Law","Human","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-019","AI Analysis Result Recorded","2026-08-10T18:22:48.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","ℹ Employer Verification Queue","◷ Medium",,"◷ In Progress","◷ Contact Employer","◷ Referred for Further Review"
"EIR-2026-BULK-020","Case Assigned","2026-08-10T17:05:45.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-020","Case Created","2026-08-10T17:05:45.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-020","AI Analysis Result Recorded","2026-08-10T18:22:48.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","✓ Closed / Monitoring Queue","✓ Low",,"✓ Complete","✓ Close - Corrected Data","◆ Late Reporting Confirmed"
"EIR-2026-BULK-021","Case Assigned","2026-08-10T17:05:49.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High",,"✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
